cell_id,parameter_name,value,value_type,unit,role
p01-s01-c0005,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0005,host_counts_mode,panel,string,,technical
p01-s01-c0005,B,10,integer,cells_per_infection,nuisance
p01-s01-c0005,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0005,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0005,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0005,host_generations,5,integer,host_passages,technical
p01-s01-c0005,c,1.0,float,ratio,nuisance
p01-s01-c0005,N_E,1000000000,integer,cells,derived
p01-s01-c0005,sampling_mode,reservoir,string,,nuisance
p01-s01-c0005,within_host_selection,false,boolean,,nuisance
p01-s01-c0005,free_living_selection,false,boolean,,nuisance
p01-s01-c0005,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0005,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0005,environment_counts_mode,final,string,,technical
p01-s01-c0005,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0005,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0006,H,100000,integer,hosts,input
p01-s01-c0006,f,1e-5,float,fraction,input
p01-s01-c0006,e,10000,integer,cells_per_host,derived
p01-s01-c0006,R,1000000000,integer,cells,derived
p01-s01-c0006,alpha,0.5,float,fraction,derived
p01-s01-c0006,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0006,host_counts_mode,panel,string,,technical
p01-s01-c0006,B,10,integer,cells_per_infection,nuisance
p01-s01-c0006,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0006,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0006,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0006,host_generations,5,integer,host_passages,technical
p01-s01-c0006,c,1.0,float,ratio,nuisance
p01-s01-c0006,N_E,1000000000,integer,cells,derived
p01-s01-c0006,sampling_mode,reservoir,string,,nuisance
p01-s01-c0006,within_host_selection,false,boolean,,nuisance
p01-s01-c0006,free_living_selection,false,boolean,,nuisance
p01-s01-c0006,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0006,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0006,environment_counts_mode,final,string,,technical
p01-s01-c0006,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0006,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0007,H,100,integer,hosts,input
p01-s01-c0007,f,1e-2,float,fraction,input
p01-s01-c0007,e,10000000,integer,cells_per_host,derived
p01-s01-c0007,R,1000000000,integer,cells,derived
p01-s01-c0007,alpha,0.5,float,fraction,derived
p01-s01-c0007,u,1e-12,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0007,host_counts_mode,full,string,,technical
p01-s01-c0007,B,10,integer,cells_per_infection,nuisance
p01-s01-c0007,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0007,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0007,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0007,host_generations,5,integer,host_passages,technical
p01-s01-c0007,c,1.0,float,ratio,nuisance
p01-s01-c0007,N_E,1000000000,integer,cells,derived
p01-s01-c0007,sampling_mode,reservoir,string,,nuisance
p01-s01-c0007,within_host_selection,false,boolean,,nuisance
p01-s01-c0007,free_living_selection,false,boolean,,nuisance
p01-s01-c0007,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0007,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0007,environment_counts_mode,final,string,,technical
p01-s01-c0007,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0007,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0008,H,100,integer,hosts,input
p01-s01-c0008,f,1e-2,float,fraction,input
p01-s01-c0008,e,10000000,integer,cells_per_host,derived
p01-s01-c0008,R,1000000000,integer,cells,derived
p01-s01-c0008,alpha,0.5,float,fraction,derived
p01-s01-c0008,u,1e-11,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0008,host_counts_mode,full,string,,technical
p01-s01-c0008,B,10,integer,cells_per_infection,nuisance
p01-s01-c0008,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0008,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0008,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0008,host_generations,5,integer,host_passages,technical
p01-s01-c0008,c,1.0,float,ratio,nuisance
p01-s01-c0008,N_E,1000000000,integer,cells,derived
p01-s01-c0008,sampling_mode,reservoir,string,,nuisance
p01-s01-c0008,within_host_selection,false,boolean,,nuisance
p01-s01-c0008,free_living_selection,false,boolean,,nuisance
p01-s01-c0008,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0008,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0008,environment_counts_mode,final,string,,technical
p01-s01-c0008,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0008,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0009,H,100,integer,hosts,input
p01-s01-c0009,f,1e-2,float,fraction,input
p01-s01-c0009,e,10000000,integer,cells_per_host,derived
p01-s01-c0009,R,1000000000,integer,cells,derived
p01-s01-c0009,alpha,0.5,float,fraction,derived
p01-s01-c0009,u,1e-10,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0009,host_counts_mode,full,string,,technical
p01-s01-c0009,B,10,integer,cells_per_infection,nuisance
p01-s01-c0009,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0009,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0009,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0009,host_generations,5,integer,host_passages,technical
p01-s01-c0009,c,1.0,float,ratio,nuisance
p01-s01-c0009,N_E,1000000000,integer,cells,derived
p01-s01-c0009,sampling_mode,reservoir,string,,nuisance
p01-s01-c0009,within_host_selection,false,boolean,,nuisance
p01-s01-c0009,free_living_selection,false,boolean,,nuisance
p01-s01-c0009,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0009,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0009,environment_counts_mode,final,string,,technical
p01-s01-c0009,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0009,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0010,H,100,integer,hosts,input
p01-s01-c0010,f,1e-2,float,fraction,input
p01-s01-c0010,e,10000000,integer,cells_per_host,derived
p01-s01-c0010,R,1000000000,integer,cells,derived
p01-s01-c0010,alpha,0.5,float,fraction,derived
p01-s01-c0010,u,1e-9,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0010,host_counts_mode,full,string,,technical
p01-s01-c0010,B,10,integer,cells_per_infection,nuisance
p01-s01-c0010,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0010,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0010,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0010,host_generations,5,integer,host_passages,technical
p01-s01-c0010,c,1.0,float,ratio,nuisance
p01-s01-c0010,N_E,1000000000,integer,cells,derived
p01-s01-c0010,sampling_mode,reservoir,string,,nuisance
p01-s01-c0010,within_host_selection,false,boolean,,nuisance
p01-s01-c0010,free_living_selection,false,boolean,,nuisance
p01-s01-c0010,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0010,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0010,environment_counts_mode,final,string,,technical
p01-s01-c0010,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0010,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0011,H,100,integer,hosts,input
p01-s01-c0011,f,1e-5,float,fraction,input
p01-s01-c0011,e,10000,integer,cells_per_host,derived
p01-s01-c0011,R,1000000,integer,cells,derived
p01-s01-c0011,alpha,0.000999000999001,float,fraction,derived
p01-s01-c0011,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0011,host_counts_mode,full,string,,technical
p01-s01-c0011,B,10,integer,cells_per_infection,nuisance
p01-s01-c0011,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0011,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0011,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0011,host_generations,5,integer,host_passages,technical
p01-s01-c0011,c,1.0,float,ratio,nuisance
p01-s01-c0011,N_E,1000000000,integer,cells,derived
p01-s01-c0011,sampling_mode,reservoir,string,,nuisance
p01-s01-c0011,within_host_selection,false,boolean,,nuisance
p01-s01-c0011,free_living_selection,false,boolean,,nuisance
p01-s01-c0011,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0011,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0011,environment_counts_mode,final,string,,technical
p01-s01-c0011,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0011,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0012,H,1000,integer,hosts,input
p01-s01-c0012,f,1e-2,float,fraction,input
p01-s01-c0012,e,10000000,integer,cells_per_host,derived
p01-s01-c0012,R,10000000000,integer,cells,derived
p01-s01-c0012,alpha,0.909090909091,float,fraction,derived
p01-s01-c0012,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0012,host_counts_mode,panel,string,,technical
p01-s01-c0012,B,10,integer,cells_per_infection,nuisance
p01-s01-c0012,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0012,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0012,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0012,host_generations,5,integer,host_passages,technical
p01-s01-c0012,c,1.0,float,ratio,nuisance
p01-s01-c0012,N_E,1000000000,integer,cells,derived
p01-s01-c0012,sampling_mode,reservoir,string,,nuisance
p01-s01-c0012,within_host_selection,false,boolean,,nuisance
p01-s01-c0012,free_living_selection,false,boolean,,nuisance
p01-s01-c0012,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0012,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0012,environment_counts_mode,final,string,,technical
p01-s01-c0012,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0012,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0013,H,1000,integer,hosts,input
p01-s01-c0013,f,1e-3,float,fraction,input
p01-s01-c0013,e,1000000,integer,cells_per_host,derived
p01-s01-c0013,R,1000000000,integer,cells,derived
p01-s01-c0013,alpha,0.5,float,fraction,derived
p01-s01-c0013,u,1e-10,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0013,host_counts_mode,panel,string,,technical
p01-s01-c0013,B,10,integer,cells_per_infection,nuisance
p01-s01-c0013,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0013,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0013,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0013,host_generations,5,integer,host_passages,technical
p01-s01-c0013,c,1.0,float,ratio,nuisance
p01-s01-c0013,N_E,1000000000,integer,cells,derived
p01-s01-c0013,sampling_mode,reservoir,string,,nuisance
p01-s01-c0013,within_host_selection,false,boolean,,nuisance
p01-s01-c0013,free_living_selection,false,boolean,,nuisance
p01-s01-c0013,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0013,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0013,environment_counts_mode,final,string,,technical
p01-s01-c0013,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0013,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0014,H,10000,integer,hosts,input
p01-s01-c0014,f,1e-4,float,fraction,input
p01-s01-c0014,e,100000,integer,cells_per_host,derived
p01-s01-c0014,R,1000000000,integer,cells,derived
p01-s01-c0014,alpha,0.5,float,fraction,derived
p01-s01-c0014,u,1e-10,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0014,host_counts_mode,panel,string,,technical
p01-s01-c0014,B,10,integer,cells_per_infection,nuisance
p01-s01-c0014,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0014,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0014,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0014,host_generations,5,integer,host_passages,technical
p01-s01-c0014,c,1.0,float,ratio,nuisance
p01-s01-c0014,N_E,1000000000,integer,cells,derived
p01-s01-c0014,sampling_mode,reservoir,string,,nuisance
p01-s01-c0014,within_host_selection,false,boolean,,nuisance
p01-s01-c0014,free_living_selection,false,boolean,,nuisance
p01-s01-c0014,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0014,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0014,environment_counts_mode,final,string,,technical
p01-s01-c0014,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0014,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0015,H,100000,integer,hosts,input
p01-s01-c0015,f,1e-5,float,fraction,input
p01-s01-c0015,e,10000,integer,cells_per_host,derived
p01-s01-c0015,R,1000000000,integer,cells,derived
p01-s01-c0015,alpha,0.5,float,fraction,derived
p01-s01-c0015,u,1e-10,float,probability_per_genome_per_bacterial_generation,input
p01-s01-c0015,host_counts_mode,panel,string,,technical
p01-s01-c0015,B,10,integer,cells_per_infection,nuisance
p01-s01-c0015,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0015,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0015,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0015,host_generations,5,integer,host_passages,technical
p01-s01-c0015,c,1.0,float,ratio,nuisance
p01-s01-c0015,N_E,1000000000,integer,cells,derived
p01-s01-c0015,sampling_mode,reservoir,string,,nuisance
p01-s01-c0015,within_host_selection,false,boolean,,nuisance
p01-s01-c0015,free_living_selection,false,boolean,,nuisance
p01-s01-c0015,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0015,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0015,environment_counts_mode,final,string,,technical
p01-s01-c0015,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0015,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0016,H,100,integer,hosts,input
p01-s01-c0016,f,1e-3,float,fraction,input
p01-s01-c0016,e,1000000,integer,cells_per_host,derived
p01-s01-c0016,R,100000000,integer,cells,derived
p01-s01-c0016,alpha,0.0909090909091,float,fraction,derived
p01-s01-c0016,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0016,host_counts_mode,full,string,,technical
p01-s01-c0016,B,10,integer,cells_per_infection,nuisance
p01-s01-c0016,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0016,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0016,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0016,host_generations,5,integer,host_passages,technical
p01-s01-c0016,c,1.0,float,ratio,nuisance
p01-s01-c0016,N_E,1000000000,integer,cells,derived
p01-s01-c0016,sampling_mode,reservoir,string,,nuisance
p01-s01-c0016,within_host_selection,false,boolean,,nuisance
p01-s01-c0016,free_living_selection,false,boolean,,nuisance
p01-s01-c0016,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0016,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0016,environment_counts_mode,final,string,,technical
p01-s01-c0016,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0016,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0017,H,10000,integer,hosts,input
p01-s01-c0017,f,1e-5,float,fraction,input
p01-s01-c0017,e,10000,integer,cells_per_host,derived
p01-s01-c0017,R,100000000,integer,cells,derived
p01-s01-c0017,alpha,0.0909090909091,float,fraction,derived
p01-s01-c0017,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0017,host_counts_mode,panel,string,,technical
p01-s01-c0017,B,10,integer,cells_per_infection,nuisance
p01-s01-c0017,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0017,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0017,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0017,host_generations,5,integer,host_passages,technical
p01-s01-c0017,c,1.0,float,ratio,nuisance
p01-s01-c0017,N_E,1000000000,integer,cells,derived
p01-s01-c0017,sampling_mode,reservoir,string,,nuisance
p01-s01-c0017,within_host_selection,false,boolean,,nuisance
p01-s01-c0017,free_living_selection,false,boolean,,nuisance
p01-s01-c0017,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0017,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0017,environment_counts_mode,final,string,,technical
p01-s01-c0017,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0017,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0018,H,100,integer,hosts,input
p01-s01-c0018,f,1e-1,float,fraction,input
p01-s01-c0018,e,100000000,integer,cells_per_host,derived
p01-s01-c0018,R,10000000000,integer,cells,derived
p01-s01-c0018,alpha,0.909090909091,float,fraction,derived
p01-s01-c0018,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0018,host_counts_mode,full,string,,technical
p01-s01-c0018,B,10,integer,cells_per_infection,nuisance
p01-s01-c0018,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0018,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0018,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0018,host_generations,5,integer,host_passages,technical
p01-s01-c0018,c,1.0,float,ratio,nuisance
p01-s01-c0018,N_E,1000000000,integer,cells,derived
p01-s01-c0018,sampling_mode,reservoir,string,,nuisance
p01-s01-c0018,within_host_selection,false,boolean,,nuisance
p01-s01-c0018,free_living_selection,false,boolean,,nuisance
p01-s01-c0018,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0018,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0018,environment_counts_mode,final,string,,technical
p01-s01-c0018,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0018,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0019,H,1000,integer,hosts,input
p01-s01-c0019,f,1e-6,float,fraction,input
p01-s01-c0019,e,1000,integer,cells_per_host,derived
p01-s01-c0019,R,1000000,integer,cells,derived
p01-s01-c0019,alpha,0.000999000999001,float,fraction,derived
p01-s01-c0019,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0019,host_counts_mode,panel,string,,technical
p01-s01-c0019,B,10,integer,cells_per_infection,nuisance
p01-s01-c0019,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0019,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0019,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0019,host_generations,5,integer,host_passages,technical
p01-s01-c0019,c,1.0,float,ratio,nuisance
p01-s01-c0019,N_E,1000000000,integer,cells,derived
p01-s01-c0019,sampling_mode,reservoir,string,,nuisance
p01-s01-c0019,within_host_selection,false,boolean,,nuisance
p01-s01-c0019,free_living_selection,false,boolean,,nuisance
p01-s01-c0019,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0019,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0019,environment_counts_mode,final,string,,technical
p01-s01-c0019,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0019,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s01-c0020,H,1000,integer,hosts,input
p01-s01-c0020,f,1e-4,float,fraction,input
p01-s01-c0020,e,100000,integer,cells_per_host,derived
p01-s01-c0020,R,100000000,integer,cells,derived
p01-s01-c0020,alpha,0.0909090909091,float,fraction,derived
p01-s01-c0020,u,0,integer,probability_per_genome_per_bacterial_generation,input
p01-s01-c0020,host_counts_mode,panel,string,,technical
p01-s01-c0020,B,10,integer,cells_per_infection,nuisance
p01-s01-c0020,K,1000000000,integer,cells_per_host,nuisance
p01-s01-c0020,growth_factor,1.2,float,ratio,nuisance
p01-s01-c0020,steady_generations,500,integer,bacterial_generations,nuisance
p01-s01-c0020,host_generations,5,integer,host_passages,technical
p01-s01-c0020,c,1.0,float,ratio,nuisance
p01-s01-c0020,N_E,1000000000,integer,cells,derived
p01-s01-c0020,sampling_mode,reservoir,string,,nuisance
p01-s01-c0020,within_host_selection,false,boolean,,nuisance
p01-s01-c0020,free_living_selection,false,boolean,,nuisance
p01-s01-c0020,mutation_effect_mean,0.0,float,fitness_units,nuisance
p01-s01-c0020,mutation_effect_sd,0.0,float,fitness_units,nuisance
p01-s01-c0020,environment_counts_mode,final,string,,technical
p01-s01-c0020,planned_seed_blocks,3,integer,seed_blocks,technical
p01-s01-c0020,seed_block_set,phase1-first-pilot-sb0001-sb0003,string,,technical
p01-s02-c0021,H,100,integer,hosts,input
p01-s02-c0021,f,0,float,fraction,input
p01-s02-c0021,e,0,integer,cells_per_host,derived
p01-s02-c0021,R,0,integer,cells,derived
p01-s02-c0021,alpha,0,float,fraction,derived
p01-s02-c0021,u,0,float,probability_per_genome_per_bacterial_generation,input
p01-s02-c0021,m,0.1,float,fraction,input
p01-s02-c0021,regional_pool_id,rp001-fisher100-fixed,string,,nuisance
p01-s02-c0021,host_counts_mode,full,string,,technical
p01-s02-c0021,host_panel_size,100,integer,hosts,technical
p01-s02-c0021,B,10,integer,cells_per_infection,nuisance
p01-s02-c0021,K,1000000000,integer,cells_per_host,nuisance
p01-s02-c0021,growth_factor,1.2,float,ratio,nuisance
p01-s02-c0021,steady_generations,500,integer,bacterial_generations,nuisance
p01-s02-c0021,host_generations,250,integer,host_passages,technical
p01-s02-c0021,c,1.0,float,ratio,nuisance
p01-s02-c0021,N_E,1000000000,integer,cells,derived
p01-s02-c0021,sampling_mode,reservoir,string,,nuisance
